| Op/En | Operand 1                                  | Operand 2                              | Operand 3                              | Operand 4 |
| FD    | AL/AX/EAX/RAX                              | Moffs                                  | NA                                     | NA        |
| I     | AL/AX/EAX/RAX                              | imm8/16/32                             | NA                                     | NA        |
| I     | AL/AX/EAX/RAX (r)                          | imm8/16/32                             | NA                                     | NA        |
| M     | ModRM:r/m (w)                              | NA                                     | NA                                     | NA        |
| M     | ModRM:r/m (r, w)                           | NA                                     | NA                                     | NA        |
| M     | ModRM:r/m (r, w)                           | NA                                     | NA                                     | NA        |
| MI    | ModRM:r/m (r, w)                           | imm8/16/32                             | NA                                     | NA        |
| MI    | ModRM:r/m (r)                              | imm8                                   | NA                                     | NA        |
| MI    | ModRM:r/m (r)                              | imm8/16/32                             | NA                                     | NA        |
| MI    | ModRM:r/m (w)                              | imm8/16/32/64                          | NA                                     | NA        |
| MR    | ModRM:r/m (w)                              | ModRM:reg (r)                          | NA                                     | NA        |
| MR    | ModRM:r/m (r, w)                           | ModRM:reg (r)                          | NA                                     | NA        |
| MR    | ModRM:r/m (r)                              | ModRM:reg (r)                          | NA                                     | NA        |
| MR    | ModRM:r/m (r)                              | ModRM:reg (r)                          | NA                                     | NA        |
| MR    | ModRM:r/m (w, ModRM:[7:6] must not be 11b) | ModRM:reg (r)                          |                                        |           |
| OI    | opcode + rd (w)                            | imm8/16/32/64                          | NA                                     | NA        |
| RM    | ModRM:reg (r, w)                           | ModRM:r/m (r)                          | NA                                     | NA        |
| RM    | ModRM:reg (r)                              | ModRM:r/m (r)                          | NA                                     | NA        |
| RM    | ModRM:reg (r, w)                           | ModRM:r/m (r)                          | NA                                     | NA        |
| RM    | ModRM:reg (w)                              | ModRM:r/m (r)                          | NA                                     | NA        |
| RR    | ModRM:reg (w)                              | ModRM:r/m (r, ModRM:[7:6] must be 11b) |                                        |           |
| RMI   | ModRM:reg (r, w)                           | ModRM:r/m (r)                          | imm8/16/32                             | NA        |
| RVM   | ModRM:reg (w)                              | VEX.vvvv (r)                           | ModRM:r/m (r)                          | NA        |
| RVR   | ModRM:reg (w)                              | VEX.1vvv (r)                           | ModRM:r/m (r, ModRM:[7:6] must be 11b) |           |
| TD    | Moffs (w)                                  | AL/AX/EAX/RAX                          | NA                                     | NA        |
