| TypeName                        | Index   | Name                            | Hex       | BitString                       | Description
| LegacyFlags                     | 0       | MandatoryPrefixByteMask         | 3         | 0000000000000011                | MandatoryPrefixByteMask
| LegacyFlags                     | 1       | MandatoryPrefixByteShift        | 0         | 0000000000000000                | MandatoryPrefixByteShift
| LegacyFlags                     | 2       | LegacyOpCodeTableMask           | 3         | 0000000000000011                | MandatoryPrefixByteMask
| LegacyFlags                     | 3       | LegacyOpCodeTableShift          | 2         | 0000000000000010                | LegacyOpCodeTableShift
| LegacyFlags                     | 4       | EncodableMask                   | 3         | 0000000000000011                | MandatoryPrefixByteMask
| LegacyFlags                     | 5       | EncodableShift                  | 4         | 0000000000000100                | EncodableShift
| LegacyFlags                     | 6       | HasGroupIndex                   | 40        | 0000000001000000                | HasGroupIndex
| LegacyFlags                     | 7       | GroupShift                      | 7         | 0000000000000111                | GroupShift
| LegacyFlags                     | 8       | AllowedPrefixesMask             | f         | 0000000000001111                | AllowedPrefixesMask
| LegacyFlags                     | 9       | AllowedPrefixesShift            | a         | 0000000000001010                | AllowedPrefixesShift
| LegacyFlags                     | 10      | Fwait                           | 4000      | 0100000000000000                | Fwait
| LegacyFlags                     | 11      | HasMandatoryPrefix              | 8000      | 1000000000000000                | HasMandatoryPrefix
| LegacyFlags                     | 12      | OperandSizeMask                 | 3         | 0000000000000011                | MandatoryPrefixByteMask
| LegacyFlags                     | 13      | OperandSizeShift                | 10        | 0000000000010000                | OperandSizeShift
| LegacyFlags                     | 14      | AddressSizeMask                 | 3         | 0000000000000011                | MandatoryPrefixByteMask
| LegacyFlags                     | 15      | AddressSizeShift                | 12        | 0000000000010010                | AddressSizeShift
